X,Y,OBJECTID,Watershed,Waterbody,Latitude,Longitude,Collection,SampleDept,FTS42,FTS42Flag,FTS62,FTS62Flag,FTS82,FTS82Flag,FOSA,FOSAFlag,NEtFOSAA,NMeFOSAA,PFBA,PFBAFlag,PFBS,PFBSFlag,PFDA,PFDAFlag,PFDoA,PFDoAFlag,PFDS,PFDSFlag,PFHpA,PFHpAFlag,PFHpS,PFHpSFlag,PFHxA,PFHxAFlag,PFHxS,PFHxSFlag,PFNA,PFNAFlag,PFNS,PFNSFlag,PFOA,PFOAFlag,PFOS,PFOSFlag,PFPeA,PFPeAFlag,PFPeS,PFPeSFlag,PFTeA,PFTeAFlag,PFTriA,PFTriAFlag,PFUnA,PFUnAFlag,PF3ONS9Cl,ADONA,ADONAFlag,GenX,GenXFlag,FTCA53,NEtFOSAAFlag,NMeFOSAAFlag,PF3OUdS11Cl,PF3OUdS11ClFlag,PF3ONS9ClFlag,FTCA53Flag
-82.9569000003347,42.6476000002399,1690,Clinton,Gloede Ditch,42.6476,-82.9569,2020/05/28 00:00:00+00, ,4.8,K,1.8,K,1.8,K,0.82,J,1.8,2.9,9.9, ,13, ,0.94,J,0.58,J,0.3,K,5.2, ,0.25,J,14, ,3.2,B,1.1,J,0.15,K,10, ,7.1, ,12, ,0.35,J,0.27,K,1.2,K,1,K,0.22,0.17,K,1.4,K, ,K,K,0.3,K,K,Not Measured
-82.9569000003347,42.6476000002399,1691,Clinton,Gloede Ditch,42.6476,-82.9569,2020/07/07 00:00:00+00, ,4.2,K,1.6,K,1.6,K,0.93,J B,1.5,2.5,23,B,14, ,2.6, ,0.44,K,0.26,K,6.2, ,0.15,K,28, ,2.6,B,2, ,0.13,K,13, ,7.6, ,21, ,0.24,K,0.23,K,1,K,0.89,K,0.19,0.14,K,1.2,K, ,K,K,0.26,K,K,Not Measured
-82.9569000003347,42.6476000002399,1692,Clinton,Gloede Ditch,42.6476,-82.9569,2020/09/17 00:00:00+00, ,0.23,K,2.4,K,0.43,K,1.6,J,1.2,1.1,9.3, ,14, ,0.29,K,0.52,K,0.3,K,4.5, ,0.18,K,12, ,3.2, ,0.74,J,0.35,K,8.4, ,5.6, ,12, ,0.31,J,0.69,K,1.2,K,1,K,0.23,0.38,K,1.4,K, ,K,K,0.3,K,K,Not Measured
-82.9569000003347,42.6476000002399,1693,Clinton,Gloede Ditch,42.6476,-82.9569,2020/11/11 00:00:00+00, ,0.24,K,2.5,K,0.45,K,1.3,J,1.3,3.9,13, ,12, ,1.6,J,0.54,K,0.31,K,6.4, ,0.19,K,24, ,2.2, ,1.4,J,0.36,K,9.7, ,11, ,14, ,0.3,K,0.72,K,1.3,K,1.1,K,0.24,0.39,K,1.5,K, ,K,J,0.31,K,K,Not Measured
-82.8812999997951,42.7158999995854,1694,Clinton,Coon Creek,42.7159,-82.8813,2019/05/21 00:00:00+00, ,5,K,2.6,J,1.9,K,0.34,K,1.8,3,9.1, ,1.7,J,0.3,K,0.53,K,0.31,K,1.5,J,0.18,K,2.2,I,0.51,J B,0.47,J,0.16,K,2.4, ,1.2,J I,2,G,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-82.8812999997951,42.7158999995854,1695,Clinton,Coon Creek,42.7159,-82.8813,2019/07/16 00:00:00+00, ,4.8,K,1.9,K,1.9,K,0.33,K,1.8,2.9,3.4, ,1.9, ,0.29,K,0.51,K,0.3,K,0.74,J,0.18,K,1.8,J,0.64,J B,0.8,J,0.15,K,2.5, ,1.8,J,2.6, ,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-82.8812999997951,42.7158999995854,1696,Clinton,Coon Creek,42.7159,-82.8813,2019/09/10 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.5,J,1.8,2.9,4.1, ,2, ,0.29,K,0.51,K,0.3,K,0.8,J,0.18,K,2.8, ,0.7,J B,0.5,J,0.15,K,2, ,1.3,J,4.6, ,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-82.8812999997951,42.7158999995854,1697,Clinton,Coon Creek,42.7159,-82.8813,2019/11/14 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.46,J,1.8,2.9,2.6, ,1.5,J,0.29,K,0.51,K,0.3,K,0.49,J,0.18,K,1,J,0.43,J B,0.25,K,0.15,K,1.2,J,0.7,J,1.1,J,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.9721499997227,44.3759500001924,1698,Manistee,Cedar Creek,44.37595,-85.97215,2019/05/15 00:00:00+00, ,5,K,1.9,K,1.9,K,0.34,K,1.8,3,1.8,J,0.2,J,0.3,K,0.53,K,0.31,K,0.24,K,0.18,K,0.56,K,0.36,J B,0.26,K,0.15,K,0.82,K,0.52,K,0.47,K,0.29,K,0.28,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.9721499997227,44.3759500001924,1699,Manistee,Cedar Creek,44.37595,-85.97215,2019/07/08 00:00:00+00, ,4.3,K,1.7,K,1.7,K,0.29,K,1.6,2.6,1.2,J,0.17,K,0.26,K,0.46,K,0.27,K,0.3,J,0.16,K,0.48,K,0.25,J B,0.23,K,0.13,K,0.71,K,0.45,K,0.41,K,0.25,K,0.24,K,1.1,K,0.92,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
