OBJECTID,HexID,SamplingResultsCount,SHAPE_Length,SHAPE_Area
166,166,1,0.179777660912224,0.00224529084789027
167,167,7,0.181613223147195,0.002281974469732
168,168,10,0.182708067018281,0.00230378151623648
169,169,2,0.179185705227687,0.0022334369144154
170,170,4,0.177501885305948,0.00219932640661582
171,171,11,0.18250641463743,0.00229980079882309
172,172,8,0.179420505167992,0.0022381209223704
173,173,10,0.178939895317191,0.00222846601089705
174,174,7,0.183448358101367,0.00231848327459765
175,175,12,0.178715556182781,0.00222394294043122
176,176,38,0.178290886336965,0.00221548360503824
177,177,12,0.183702114902112,0.00232348442431628
178,178,12,0.182081982905305,0.00229134787402981
179,179,4,0.177893615264441,0.00220748779531191
180,180,4,0.181346394523232,0.00227665383582906
181,181,4,0.178105177537672,0.00221174560921527
182,182,4,0.183637409558222,0.00232215958952844
183,183,3,0.181485689411071,0.00227945606954962
184,184,7,0.179194582740525,0.00223360496802347
185,185,11,0.185022719637154,0.00234953105699318
186,186,21,0.178256966655059,0.00221477318252098
187,187,1,0.185851938968135,0.00236614521141982
188,188,9,0.177628634188723,0.00220194594053406
189,189,11,0.17930342943962,0.00223578351256138
190,190,8,0.177271275500221,0.00219480860746634
191,191,4,0.181639170367842,0.00228249218936914
192,192,9,0.182124432881909,0.00229219503237567
193,193,4,0.182078729276915,0.00229097675664651
194,194,23,0.180771885252456,0.00226511278666252
195,195,8,0.179997344205768,0.00224958729638944
196,196,10,0.185658861625108,0.00236203269755111
197,197,2,0.180583301401679,0.00226142760882166
198,198,4,0.181369958715816,0.00227708678309404
199,199,40,0.180049715664985,0.0022506908507887
200,200,11,0.177129464117814,0.00219197910621681
201,201,4,0.183536171469056,0.00232022463267848
202,202,5,0.178758439191849,0.00222484325144928
203,203,1,0.1832175785938,0.00231387203214127
204,204,4,0.180899660200712,0.00226775084330993
205,205,52,0.182543826388814,0.00230042885089915
206,206,2,0.181850415230457,0.00228670355492696
207,207,1,0.179600058470856,0.00224162672671362
208,208,3,0.178981879580384,0.00222926526920587
209,209,16,0.177588425737841,0.00220112264759755
210,210,3,0.178291074511894,0.00221539071283424
211,211,4,0.178237298361753,0.00221434786334678
212,212,2,0.18028343185348,0.0022554280468971
213,213,4,0.1856172419362,0.00236122853499239
214,214,4,0.177988858046568,0.00220931554581434
215,215,21,0.181476685268689,0.00227926215158609
216,216,9,0.180903843573814,0.00226776542462839
217,217,4,0.177379451564311,0.00219681224975612
218,218,4,0.179334108446095,0.0022363386283468
219,219,5,0.178599950149399,0.00222169111896337
220,220,4,0.181869273272126,0.00228709986526206
221,221,1,0.181365909271324,0.00227706731497928
222,222,5,0.178913346750509,0.00222795670764909
223,223,5,0.17821936325101,0.00221404069641103
224,224,4,0.185415409422484,0.00235751970236468
225,225,8,0.185897223846423,0.00236674539193157
226,226,5,0.180097251479147,0.00225170655306135
227,227,1,0.182251185798918,0.00229472119016123
228,228,14,0.179694569768084,0.00224359605028469
229,229,3,0.177539811533228,0.0022003728257271
230,230,14,0.177387038026036,0.0021972993657713
