X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
553757.431600001,476651.4108,38,3087,0.31,3.81,10.8,0.440,0.004,7.8,2.2,1.8,5.100,0.6,0.6,40.18,0.300,0.03,6.2,S51_004,3087,3087,1977/03/23 00:00:00+00,Pasco,EPTS,SELLERS MUCK,"Cumulic Humaquepts, sandy, siliceous, hyperthermic.",A1,Sandy marine sediments.,28.287031,-82.429313,553757.26,476651.54
594982.567000002,629255.738,39,5636,0.45,0.18,6.9,0.310,0.004,2.6,1.1,7.9,27.000,0.56,8,3.36,0.150,0.06,3.3,S54_008,5636,5636,1983/02/08 00:00:00+00,Putnam,ULTS,APOPKA SAND,"Grossarenic Paleudults, loamy, siliceous, subactive, hyperthermic.",A,Sandy and loamy marine sediments.,29.655728,-81.98275,594982.4,629256.03
725323.421500001,420097.0178,40,5459,1.26,0.23,51.6,0.160,0.12,25,49.6,13.8,23.200,6.16,12.6,7.34,0.800,2.2,13.4,S31_011,5459,5459,1982/11/02 00:00:00+00,Indian River,ALFS,CANOVA MUCK,"Histic Glossaqualfs, fine-loamy, siliceous, superactive, hyperthermic.",Oap,Sandy and loamy marine sediment under conditions favorable for the accumulation of organic material,27.747319,-80.692818,725323.05,420097.18
617088.773200002,633140.4833,41,5257,0.49,0.22,55.3,1.100,0.004,4.4,0.9,3.3,38.500,0.75,6.5,5.29,0.150,0.02,2.4,S54_006,5257,5257,1982/04/01 00:00:00+00,Putnam,ALFS,HOLOPAW FINE SAND,"Grossarenic Endoaqualfs, loamy, siliceous, active, hyperthermic.",A,Sandy and loamy marine sediments.,29.68727,-81.75336,617088.58,633140.75
763565.537999999,384601.7815,42,2180,0.39,0.03,2.2,NA,0.004,3.7,0.5,2.8,37.300,1.28,25.2,2.59,NA,0.02,9.2,S56_010,2180,2180,1975/08/04 00:00:00+00,St. Lucie,ENTS,ST. LUCIE SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,"Unconsolidated deep marine, aeolian, or fluvial sands.",27.418047,-80.315054,763565.16,384601.93
548790.988600001,489503.7379,43,3794,0.3,0.56,9.3,0.560,0.004,3.9,1.9,2.8,36.900,0.37,8,9.1,0.150,0.1,5.1,S51_028,3794,3794,1978/10/03 00:00:00+00,Pasco,ENTS,Candler Coated Variant Fine Sand,"Lamellic Quartzipsamments, hyperthermic, coated .",A1,Thick beds of coarse textured aeolian or marine deposits.,28.40331,-82.478422,548790.78,489503.86
566509.3992,638160.2656,44,3888,0.31,0.15,9.7,0.380,0.004,7.9,1.3,2.6,103.000,0.16,10,3.31,0.150,0.03,3.5,S01_092,3888,3888,1978/11/07 00:00:00+00,Alachua,ULTS,SPARR FINE SAND,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, hyperthermic.",Ap1,Thick beds of sandy and loamy marine sediments.,29.739813,-82.275998,566509.28,638160.57
662561.4855,569076.4809,45,1494,0.5,0.03,4.7,0.310,0.004,1.4,1.6,70.4,12.700,1.18,8.1,2.6,NA,0.08,2.3,S64_012,1494,1494,1974/08/20 00:00:00+00,Volusia,ULTS,MILLHOPPER FINE SAND,"Grossarenic Paleudults, loamy, siliceous, semiactive,  hyperthermic.",A,Sandy and loamy marine or aeolian deposits.,29.1022,-81.297432,662561.18,569076.72
518679.146600001,665067.0881,46,3782,0.44,0.22,15.5,NA,0.004,8.6,1,4.8,59.900,1.39,25.6,4.03,NA,0.08,5.1,S12_005,3782,3782,1978/07/25 00:00:00+00,Columbia,ENTS,ALPIN FINE SAND,"Lamellic Quartzipsamments, thermic, coated.",A,Thick beds of sandy marine sediments.,29.987332,-82.7684,518679.04,665067.44
756811.300099999,401574.3476,47,5483,0.51,3.58,1.9,NA,0.004,11.8,1.1,5.8,67.200,1.31,10.7,5.19,0.580,0.08,5.8,S31_014,5483,5483,1982/11/03 00:00:00+00,Indian River,ENTS,ST. LUCIE SAND,"Typic Quartzipsamments, hyperthermic, uncoated",A,Sandy marine sediments,27.572624,-80.378422,756810.87,401574.47
