DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00195026,"1H,1H-Perfluoropropylamine",422-03-7,DPQNQLKPUVWGHE-UHFFFAOYSA-N,"2,2,3,3,3-Pentafluoropropan-1-amine",NCC(F)(F)C(F)(F)F,"InChI=1S/C3H4F5N/c4-2(5,1-9)3(6,7)8/h1,9H2",C3H4F5N,149.064,149.026390,41,,72,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3059921,Perfluorotetradecanoic acid,376-06-7,RUDINRUXCKIXAJ-UHFFFAOYSA-N,Heptacosafluorotetradecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C14HF27O2/c15-2(16,1(42)43)3(17,18)4(19,20)5(21,22)6(23,24)7(25,26)8(27,28)9(29,30)10(31,32)11(33,34)12(35,36)13(37,38)14(39,40)41/h(H,42,43)",C14HF27O2,714.117,713.954540,140,,49,,1,26/463,6.0,463
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5067348,2-(Perfluorooctyl)ethyl acrylate,27905-45-9,QUKRIOLKOHUUBM-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl prop-2-enoate",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,"InChI=1S/C13H7F17O2/c1-2-5(31)32-4-3-6(14,15)7(16,17)8(18,19)9(20,21)10(22,23)11(24,25)12(26,27)13(28,29)30/h2H,1,3-4H2",C13H7F17O2,518.17,518.017458,100,,80,,1,16/469,3.0,469
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6027426,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,1691-99-2,HUFHNYZNTFSKCT-UHFFFAOYSA-N,"N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)octane-1-sulfonamide",CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12H10F17NO3S/c1-2-30(3-4-31)34(32,33)12(28,29)10(23,24)8(19,20)6(15,16)5(13,14)7(17,18)9(21,22)11(25,26)27/h31H,2-4H2,1H3",C12H10F17NO3S,571.25,571.010993,115,10,70,,1,124/505,25.0,505
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10547335,Methyl 4H-perfluorobutyl ketone,93449-49-1,ZPBONMADXBQFDC-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6-Octafluorohexan-2-one",CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C6H4F8O/c1-2(15)4(9,10)6(13,14)5(11,12)3(7)8/h3H,1H3",C6H4F8O,244.084,244.013440,18,,6,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9059884,"1H,1H-Perfluoropropyl acrylate",356-86-5,JDVGNKIUXZQTFD-UHFFFAOYSA-N,"2,2,3,3,3-Pentafluoropropyl prop-2-enoate",FC(F)(F)C(F)(F)COC(=O)C=C,"InChI=1S/C6H5F5O2/c1-2-4(12)13-3-5(7,8)6(9,10)11/h2H,1,3H2",C6H5F5O2,204.096,204.020970,49,,57,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30891564,2-(Perfluorobutyl)-1-ethanesulfonic acid,757124-72-4,TXGIGTRUEITPSC-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,6-Nonafluorohexane-1-sulfonic acid",OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6H5F9O3S/c7-3(8,1-2-19(16,17)18)4(9,10)5(11,12)6(13,14)15/h1-2H2,(H,16,17,18)",C6H5F9O3S,328.15,327.981569,56,,14,,1,6/497,1.0,497
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40883576,Hexafluoro-2-methyl-2-propanol,1515-14-6,FQDXJYBXPOMIBX-UHFFFAOYSA-N,"1,1,1,3,3,3-Hexafluoro-2-methylpropan-2-ol",CC(O)(C(F)(F)F)C(F)(F)F,"InChI=1S/C4H4F6O/c1-2(11,3(5,6)7)4(8,9)10/h11H,1H3",C4H4F6O,182.065,182.016634,45,,77,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30394964,Pentafluoropropylamidine,422-62-8,UNRVJNUSAVOPFF-UHFFFAOYSA-N,"2,2,3,3,3-Pentafluoropropanimidamide",NC(=N)C(F)(F)C(F)(F)F,"InChI=1S/C3H3F5N2/c4-2(5,1(9)10)3(6,7)8/h(H3,9,10)",C3H3F5N2,162.063,162.021639,19,,36,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5060936,1-Iodoperfluoropentane,638-79-9,KCEJJSGJNCSQFI-UHFFFAOYSA-N,"1,1,1,2,2,3,3,4,4,5,5-Undecafluoro-5-iodopentane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"InChI=1S/C5F11I/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)17",C5F11I,395.942,395.886900,56,,53,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1075222,Perfluorodimethylcyclobutane,28677-00-1,,,"F*.F*.FC1C(F)C(F)(F)C1C(F)(F)F.FC(F)(F)* |lp:0:3,2:3,4:3,7:3,9:3,10:3,13:3,14:3,15:3,16:3,18:3,19:3,m:1:11.5,3:5.6,20:11.5.6|",,C6F12,300.047,299.980838,22,,,,1, ,,
